TUOI,TTR,NGANHKT,VON,MST,NAM,QUY,K_C_V01,K_C_V01_T,K_C_V02,K_C_V02_T,K_C_V03,K_C_V03_T,K_C_V04,K_C_V04_T,K_C_V05,K_C_V05_T,K_C_V06,K_C_V06_T,K_C_V07,K_C_V07_T,K_C_V08,K_C_V08_T,K_C_V09,K_C_V09_T,K_C_V10,K_C_V10_T,K_C_V11,K_C_V11_T,K_C_V12,K_C_V12_T,K_C_V13,K_C_V13_T,K_C_V14,K_C_V14_T,K_C_V15,K_C_V15_T,K_C_V16,K_C_V16_T,K_C_V17,K_C_V17_T,K_C_V18,K_C_V18_T,K_C_V19,K_C_V19_T,K_C_V20,K_C_V20_T,K_C_V21,K_C_V21_T,K_C_V22,K_C_V22_T,K_C_V23,K_C_V23_T,K_C_V24,K_C_V24_T,K_C_V25,K_C_V25_T,K_C_V26,K_C_V26_T,K_C_V27,K_C_V27_T,K_C_V28,K_C_V28_T,K_C_V29,K_C_V29_T,K_C_V30,K_C_V30_T,K_C_V31,K_C_V31_T,K_C_V32,K_C_V32_T,K_C_V33,K_C_V33_T,K_C_V34,K_C_V34_T,K_T_A01,K_T_A01_T,K_T_A02,K_T_A02_T,K_T_A03,K_T_A03_T,K_T_A04,K_T_A04_T,K_T_A05,K_T_A05_T,K_T_A06,K_T_A06_T,K_T_A07,K_T_A07_T,K_T_A08,K_T_A08_T,K_T_A09,K_T_A09_T,K_T_A10,K_T_A10_T,K_T_A11,K_T_A11_T,K_T_A12,K_T_A12_T,K_T_A13,K_T_A13_T,K_T_A14,K_T_A14_T,K_T_A15,K_T_A15_T,K_T_B01,K_T_B01_T,K_T_B02,K_T_B02_T,K_T_B03,K_T_B03_T,K_T_B04,K_T_B04_T,K_T_B05,K_T_B05_T,K_T_B06,K_T_B06_T,K_T_C01,K_T_C01_T,K_T_C02,K_T_C02_T,K_T_C03,K_T_C03_T,K_T_C04,K_T_C04_T,K_T_C05,K_T_C05_T,K_T_C06,K_T_C06_T,K_T_C07,K_T_C07_T,K_T_C08,K_T_C08_T,K_T_C09,K_T_C09_T,K_T_R01,K_T_R01_T,K_T_R02,K_T_R02_T,K_T_R03,K_T_R03_T,K_T_R04,K_T_R04_T,K_T_R05,K_T_R05_T,K_T_R06,K_T_R06_T,K_T_R07,K_T_R07_T,K_T_R08,K_T_R08_T,K_T_R09,K_T_R09_T,K_T_R10,K_T_R10_T,K_T_R11,K_T_R11_T,K_T_R12,K_T_R12_T,K_T_Z01,K_T_Z01_T,K_T_Z02,K_T_Z02_T,K_T_Z03,K_T_Z03_T,K_T_Z04,K_T_Z04_T,K_T_Z05,K_T_Z05_T,K_T_Z06,K_T_Z06_T,K_T_Z07,K_T_Z07_T,K_T_Z08,K_T_Z08_T,K_T_Z09,K_T_Z09_T,K_T_Z10,K_T_Z10_T,K_T_Z11,K_T_Z11_T,K_T_Z12,K_T_Z12_T,K_T_Z13,K_T_Z13_T,K_T_Z14,K_T_Z14_T,K_T_Z15,K_T_Z15_T,K_T_Z16,K_T_Z16_T,K_T_Z17,K_T_Z17_T,K_T_Z18,K_T_Z18_T,K_T_Z19,K_T_Z19_T,K_T_Z20,K_T_Z20_T
18,E,2029,1300,100101072,2017,0,0.16,,0,,28.21,,57.27,,0.05,,0.35,,0.01,,0.04,,0.07,,0.14,,0.41,,-0.08,,4.53,,0.75,,2.93,,0,,0.85,,0.02,,18.36,,12.92,,0.08,,0.14,,15.45,,0.1,,0.05,,0.14,,0.13,,-0.54,,-0.19,,0.21,,0.39,,0,,-0.01,,-0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,E,2029,1300,100101072,2018,0,0.15,,0.02,,19.37,,35.56,,0.06,,0.4,,0.01,,0.04,,0.06,,0.15,,0.38,,-0.09,,4.17,,0.73,,2.7,,0,,1.25,,0.03,,21.13,,20.7,,0.05,,0.19,,18.03,,0.07,,0.05,,0.06,,0.08,,0.16,,-0.08,,0.26,,-0.07,,-0.16,,0.13,,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,E,2029,1300,100101072,2019,0,0.14,,0.02,,20.44,,33.92,,0.06,,0.28,,0.02,,0.07,,0.11,,0.2,,0.5,,-0.09,,3.5,,0.7,,2.37,,0,,1.49,,0.1,,28.24,,14.81,,0.07,,0.23,,24.15,,0.09,,0.04,,0.09,,0.15,,-0.19,,-0.01,,0.08,,0.32,,0.52,,0.02,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,E,3512,9892,100101114,2017,0,0.07,,0.01,,9.92,,62.08,,0.02,,0.08,,0.11,,0.56,,0.03,,0.26,,1.22,,0.06,,5.04,,0.63,,1.7,,0,,1.24,,0.01,,55.54,,33.51,,0.03,,0.09,,51.49,,0.21,,0.02,,0.01,,0.01,,0.23,,0.17,,0.04,,0.42,,0.22,,0.2,,-0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,E,3512,9892,100101114,2018,0,0.07,,0.01,,9.51,,49.59,,0.03,,0.11,,0.08,,0.36,,0.03,,0.25,,1.01,,0.03,,4.52,,0.64,,1.81,,0,,1.28,,0.02,,45.49,,38.29,,0.03,,0.09,,42.12,,0.18,,0.02,,0.09,,0.11,,0.4,,0.01,,0.13,,-0.17,,0.01,,0.16,,-0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,E,3512,9892,100101114,2019,0,0.07,,0.01,,8.23,,42.64,,0.02,,0.09,,0.08,,0.4,,0.03,,0.24,,1.09,,0.04,,5.08,,0.66,,1.92,,0,,1.39,,0.02,,59.99,,43.96,,0.02,,0.09,,55.8,,0.16,,0.02,,0.07,,0.09,,-0.11,,-0.06,,0.15,,0.08,,0.02,,0.11,,-0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,E,126,1150,100101509,2017,0,0.03,,0.02,,67.46,,32.3,,0.16,,0.27,,0.06,,0.15,,0.27,,0.6,,1.13,,0.21,,2.58,,0.44,,0.77,,0.05,,1.16,,0.04,,6.85,,4.15,,0.24,,0.03,,6.64,,0.39,,0.15,,-0.07,,-0.08,,-0.11,,-0.41,,0.31,,0.08,,0.88,,-0.28,,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,E,126,1150,100101509,2018,0,-0.01,,-0.04,,66.08,,30.41,,0.19,,0.34,,0.05,,0.12,,0.21,,0.55,,0.95,,0.17,,2.61,,0.44,,0.79,,-0.01,,1.32,,-0.11,,7.52,,6.77,,0.15,,-0.01,,7.56,,0.26,,0.13,,0.03,,0.04,,0.03,,-1.19,,0.14,,-0.16,,-0.31,,0.42,,-2.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,E,126,1150,100101509,2019,0,-0.13,,-0.14,,80.74,,37.79,,0.1,,0.2,,0.03,,0.05,,0.25,,0.5,,0.77,,-0.02,,1.92,,0.59,,1.45,,-0.25,,1.03,,-0.38,,11.04,,4.31,,0.23,,-0.14,,12.48,,0.37,,0.09,,-0.13,,-0.14,,-0.52,,20.67,,-0.27,,-0.19,,0.1,,-0.13,,2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,E,4101,300,100102291,2017,0,0.24,,0,,254.69,,409.07,,0.01,,0.02,,0.22,,0.83,,0.14,,0.4,,1.46,,0.13,,3.73,,0.58,,1.4,,0,,0.21,,0,,22.78,,1.35,,0.74,,0.05,,17.26,,2.1,,0.04,,0.23,,0.04,,0.04,,0.95,,0.8,,-0.65,,0.12,,6.29,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,E,4101,300,100102291,2018,0,0.28,,0.01,,439.83,,1220.11,,0.01,,0.02,,0.13,,0.29,,0.2,,0.37,,0.84,,-0.06,,2.33,,0.62,,1.61,,0,,0.14,,0,,17.51,,0.68,,1.47,,0.04,,12.6,,2.67,,0.06,,-0.6,,-0.08,,0.02,,0.16,,-0.34,,-0.43,,0.56,,-0.14,,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,E,4101,300,100102291,2019,0,0.38,,0.16,,996.99,,2807.73,,0.01,,0.02,,0.11,,0.33,,0.22,,0.36,,1.05,,0.02,,2.97,,0.69,,2.19,,0.01,,0.08,,0.03,,11.11,,0.31,,3.21,,0.03,,6.92,,5.08,,0.09,,0.7,,0.05,,0.03,,0.35,,-0.78,,0.26,,0.42,,-0.44,,15.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,E,4631,4359.39,100102608,2017,0,0.05,,0.04,,204.93,,25.42,,0.02,,0.03,,0.17,,0.43,,0.41,,0.87,,2.16,,0.48,,2.55,,0.46,,0.84,,0.01,,0.73,,0.04,,28.93,,1.66,,0.6,,0.04,,27.39,,1.24,,0.03,,-0.04,,-0.03,,-0.34,,-0.27,,0.11,,0.04,,0.15,,-0.19,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,E,4631,4359.39,100102608,2018,0,0.1,,0.03,,158.23,,17.6,,0.06,,0.07,,0.12,,0.35,,0.43,,0.88,,2.33,,0.53,,2.85,,0.47,,0.89,,0.01,,0.97,,0.04,,16.33,,2.19,,0.46,,0.09,,14.72,,0.86,,0.06,,-0.08,,-0.08,,1.59,,0.85,,0.28,,0.08,,0.11,,1.54,,-0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,E,4631,4359.39,100102608,2019,0,0.08,,0.04,,232.9,,43.32,,0.07,,0.08,,0.1,,0.26,,0.43,,0.85,,1.91,,0.44,,2.44,,0.49,,0.96,,0.01,,0.67,,0.04,,9.9,,1.55,,0.64,,0.06,,9.07,,1.19,,0.1,,0.03,,0.02,,0.19,,-0.14,,-0.36,,-0.18,,0.02,,-0.46,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,E,1020,400,100103545,2017,0,0.11,,0,,308.82,,153.71,,0.02,,0.09,,0,,0.01,,0.22,,0.24,,0.7,,-0.08,,3.16,,0.54,,1.16,,0,,0.21,,0,,8.78,,0.84,,1.16,,0.02,,8.01,,1.18,,0.11,,-0.61,,-0.11,,0.2,,0.23,,-0.65,,1.34,,1.36,,-0.62,,-1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,E,1020,400,100103545,2018,0,0.13,,-0.01,,675.81,,256.29,,0.03,,0.12,,0,,0,,0.25,,0.29,,0.7,,-0.08,,2.73,,0.57,,1.33,,-0.01,,0.13,,0,,3.5,,0.49,,2,,0.01,,3.1,,2.05,,0.28,,-0.37,,-0.05,,0.79,,0.31,,-0.44,,0,,0.22,,0.01,,-2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,E,1020,400,100103545,2019,0,0.08,,-0.02,,1632.49,,512.66,,0.02,,0.06,,0,,0.01,,0.35,,0.38,,0.89,,-0.02,,2.46,,0.56,,1.28,,-0.01,,0.07,,0,,2.46,,0.17,,5.71,,0,,2.32,,5.8,,0.4,,0.12,,0.01,,-0.07,,-0.47,,-0.45,,0.27,,0.86,,-0.61,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,E,4669,370,100103915,2017,0,0.07,,-0.03,,315.77,,355.27,,0.02,,0.04,,0.09,,0.16,,0.48,,0.61,,1.08,,0.07,,1.85,,0.56,,1.29,,-0.02,,0.53,,-0.02,,23.35,,1.16,,0.85,,0.04,,21.85,,1.04,,0.04,,-0.03,,-0.02,,-0.12,,0.05,,0.26,,0.03,,-0.01,,0.16,,-0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,E,4669,370,100103915,2018,0,0.11,,-0.01,,417.88,,488.66,,0.03,,0.04,,0.08,,0.13,,0.49,,0.6,,1.02,,0.04,,1.77,,0.57,,1.34,,-0.02,,0.42,,-0.01,,15.72,,0.85,,1.17,,0.05,,13.99,,1.38,,0.06,,-0.01,,-0.01,,0.15,,0.72,,-0.36,,0.01,,0.06,,0.18,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,E,4669,370,100103915,2019,0,0.11,,-0.18,,293.19,,354.27,,0.05,,0.21,,0.03,,0.08,,0.23,,0.22,,0.48,,-0.14,,2.79,,0.46,,0.87,,-0.23,,0.49,,-0.22,,14.53,,2.88,,0.35,,0.07,,12.98,,0.26,,0.07,,-0.09,,-0.06,,0.01,,-0.03,,-0.07,,-0.53,,-0.72,,1.05,,13.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,E,6810,170,100104034,2017,0,0.95,,-0.17,,29798.59,,52.37,,0.24,,0.24,,0,,0.04,,0.73,,1,,13.21,,0.94,,17.39,,0.06,,0.06,,-0.13,,0.01,,0,,0.02,,0.01,,153.82,,0,,0,,159.16,,49.78,,-189.53,,-0.9,,94.36,,-0.05,,0.93,,2.15,,15.26,,-0.83,,-0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,E,6810,170,100104034,2018,0,0.55,,2.12,,35916.67,,59.13,,0.62,,0.65,,0,,0.02,,0.32,,0.95,,4.39,,0.87,,13.27,,0.08,,0.08,,-0.12,,0.01,,0,,0.01,,0.02,,61.12,,0,,0,,63.49,,118.33,,-7.05,,-0.04,,1.69,,-0.42,,0.9,,-0.67,,-0.55,,2.78,,-13.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,E,6810,170,100104034,2019,0,0.3,,-0.03,,9058.67,,18.2,,0.89,,0.9,,0.04,,0.08,,0.03,,0.98,,0.18,,0.44,,1.85,,0.74,,2.79,,-0.04,,0,,0,,0,,0.08,,13.2,,0,,0,,38.5,,354.57,,-126.82,,-0.32,,4.03,,-0.46,,0.62,,-0.96,,-0.64,,-0.79,,-1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,E,4669,192.3,100104066,2017,0,0.08,,0.01,,59.01,,113.57,,0.41,,0.5,,0.01,,0.01,,0.19,,0.83,,0.5,,-0.01,,1.19,,0.86,,5.98,,0.03,,1.44,,0.15,,3.42,,7.23,,0.14,,0.12,,3.14,,0.3,,0.29,,0.16,,0.22,,0.25,,0.69,,-0.02,,-0.25,,-0.25,,0.37,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,E,4669,192.3,100104066,2018,0,0.11,,0.01,,43.2,,107.56,,0.52,,0.68,,0.02,,0.03,,0.18,,0.76,,0.33,,0.03,,1.37,,0.81,,4.31,,0.02,,1.59,,0.07,,3.54,,10.07,,0.1,,0.19,,3.17,,0.13,,0.28,,0.5,,0.92,,-0.03,,0.26,,-0.02,,-0.33,,-0.28,,0.31,,-0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,E,4669,192.3,100104066,2019,0,0.05,,0.01,,47.89,,49.86,,0.43,,0.55,,0.06,,0.08,,0.27,,0.79,,0.51,,0.09,,1.43,,0.81,,4.29,,0.04,,1.74,,0.08,,3.87,,6.16,,0.16,,0.09,,3.67,,0.21,,0.26,,-0.01,,-0.02,,-0.1,,-0.49,,0.05,,0.57,,0.62,,-0.48,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,E,4212,700,100104274,2017,0,0.03,,0.02,,411.35,,375.02,,0.2,,0.25,,0.07,,0.1,,0.55,,0.83,,0.82,,0.06,,1.31,,0.78,,3.56,,0.02,,0.49,,0.06,,2.35,,0.86,,1.16,,0.01,,2.28,,1.31,,0.42,,0.03,,0.01,,0.08,,-0.38,,-0.4,,-0.03,,0.05,,-0.38,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,E,4212,700,100104274,2018,0,0.06,,0.03,,541.52,,558.38,,0.17,,0.2,,0.08,,0.11,,0.58,,0.82,,0.9,,0.1,,1.38,,0.75,,2.96,,0.04,,0.38,,0.06,,2.41,,0.68,,1.46,,0.02,,2.27,,1.65,,0.42,,0.02,,0.01,,-0.25,,0.95,,-0.34,,0.11,,-0.03,,-0.03,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,E,4212,700,100104274,2019,0,0.03,,0.01,,1281.4,,1130.58,,0.17,,0.21,,0.04,,0.06,,0.61,,0.81,,0.89,,0.09,,1.38,,0.72,,2.64,,0.04,,0.17,,0.01,,1.05,,0.29,,3.43,,0.01,,1.02,,3.66,,0.95,,-0.14,,-0.03,,-0.06,,-0.5,,-1.38,,-0.02,,-0.04,,-0.35,,-0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,E,7911,250,100104404,2017,0,0.19,,0.07,,19.25,,31.27,,0,,0,,0.01,,0.5,,0.01,,0.02,,0.67,,-0.01,,35.38,,0.03,,0.03,,0.04,,0.43,,0.01,,7546.23,,24.6,,0.04,,0.05,,6109.75,,0.08,,0,,-0.01,,0,,0.1,,-0.47,,0.47,,-0.71,,-0.37,,-0.42,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,E,7911,250,100104404,2018,0,0.33,,0.06,,24.13,,66.32,,0,,0,,0.01,,0.52,,0.01,,0.02,,0.94,,0,,45.48,,0.02,,0.02,,0.05,,0.14,,0.01,,5281.77,,17.02,,0.06,,0.04,,3549.42,,0.15,,0,,0.05,,0.01,,-0.21,,0.72,,-1.18,,0.4,,-0.2,,0.16,,-0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,E,7911,250,100104404,2019,0,0.29,,0.08,,17.17,,67,,0,,0,,0.03,,0.87,,0.01,,0.04,,1.12,,0,,29.98,,0.03,,0.03,,0.05,,0.17,,0.01,,5419.36,,21.12,,0.05,,0.05,,3852.46,,0.22,,0,,0.09,,0.02,,0.23,,-0.12,,0.25,,0.19,,0.01,,-0.03,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,E,2910,876.03,100104429,2017,0,0.09,,0.02,,330.94,,272.85,,0.19,,0.27,,0.01,,0.02,,0.53,,0.73,,0.82,,0.08,,1.55,,0.65,,1.83,,0.03,,0.48,,0.02,,1.78,,0.66,,1.52,,0.03,,1.61,,1.53,,0.56,,1.25,,0.43,,0.68,,0.17,,0.19,,-0.59,,4.29,,1.37,,-0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,E,2910,876.03,100104429,2018,0,0.1,,0.14,,1776.83,,4616.02,,0.08,,0.11,,0,,0.01,,0.65,,0.71,,0.82,,-0.06,,1.29,,0.78,,3.45,,0.01,,0.12,,0.06,,1.3,,0.16,,6.34,,0.01,,1.19,,6.2,,0.76,,3.89,,0.4,,-0.38,,-0.02,,-1.19,,-0.02,,0.91,,-0.82,,6.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,E,2910,876.03,100104429,2019,0,0.02,,0.5,,8045.14,,17188.25,,0.05,,0.06,,0.06,,0.07,,0.67,,0.8,,0.93,,-0.01,,1.24,,0.81,,4.27,,0.02,,0.03,,0.08,,0.52,,0.04,,24.27,,0,,0.52,,27.34,,1.88,,3.76,,0.1,,-0.18,,-0.99,,-1.78,,0.16,,0.27,,0.04,,6.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,E,4669,220,100104468,2017,0,0,,0,,169.49,,125.25,,0.16,,0.17,,0.01,,0.01,,0.79,,0.95,,0.85,,0.02,,1.07,,0.94,,15.57,,0,,1.57,,0,,5.47,,1.1,,0.91,,0,,5.46,,0.91,,0.18,,-0.21,,-0.18,,152.15,,,,1,,-0.42,,37.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,E,4669,220,100104468,2018,0,0.02,,0,,130.43,,100.22,,0,,0,,0.08,,0.08,,0.88,,0.95,,1.02,,0.02,,1.08,,0.94,,15.35,,0,,2.33,,0.02,,41941.42,,2.65,,0.38,,0.04,,41194.38,,0.41,,0,,-0.07,,-0.16,,-1,,13.45,,0.62,,0.21,,0.12,,9.11,,-0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,E,4669,220,100104468,2019,0,0.01,,0,,108.5,,75.82,,0,,0,,0,,0,,0.97,,0.98,,1.01,,0.01,,1.04,,0.97,,31.63,,0,,3.17,,0.01,,2876.62,,2.43,,0.41,,0.02,,2850.7,,0.41,,0,,-0.03,,-0.07,,58.19,,,,1,,-0.01,,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
