TUOI,TTR,NGANHKT,VON,MST,NAM,QUY,K_C_V01,K_C_V01_T,K_C_V02,K_C_V02_T,K_C_V03,K_C_V03_T,K_C_V04,K_C_V04_T,K_C_V05,K_C_V05_T,K_C_V06,K_C_V06_T,K_C_V07,K_C_V07_T,K_C_V08,K_C_V08_T,K_C_V09,K_C_V09_T,K_C_V10,K_C_V10_T,K_C_V11,K_C_V11_T,K_C_V12,K_C_V12_T,K_C_V13,K_C_V13_T,K_C_V14,K_C_V14_T,K_C_V15,K_C_V15_T,K_C_V16,K_C_V16_T,K_C_V17,K_C_V17_T,K_C_V18,K_C_V18_T,K_C_V19,K_C_V19_T,K_C_V20,K_C_V20_T,K_C_V21,K_C_V21_T,K_C_V22,K_C_V22_T,K_C_V23,K_C_V23_T,K_C_V24,K_C_V24_T,K_C_V25,K_C_V25_T,K_C_V26,K_C_V26_T,K_C_V27,K_C_V27_T,K_C_V28,K_C_V28_T,K_C_V29,K_C_V29_T,K_C_V30,K_C_V30_T,K_C_V31,K_C_V31_T,K_C_V32,K_C_V32_T,K_C_V33,K_C_V33_T,K_C_V34,K_C_V34_T,K_T_A01,K_T_A01_T,K_T_A02,K_T_A02_T,K_T_A03,K_T_A03_T,K_T_A04,K_T_A04_T,K_T_A05,K_T_A05_T,K_T_A06,K_T_A06_T,K_T_A07,K_T_A07_T,K_T_A08,K_T_A08_T,K_T_A09,K_T_A09_T,K_T_A10,K_T_A10_T,K_T_A11,K_T_A11_T,K_T_A12,K_T_A12_T,K_T_A13,K_T_A13_T,K_T_A14,K_T_A14_T,K_T_A15,K_T_A15_T,K_T_B01,K_T_B01_T,K_T_B02,K_T_B02_T,K_T_B03,K_T_B03_T,K_T_B04,K_T_B04_T,K_T_B05,K_T_B05_T,K_T_B06,K_T_B06_T,K_T_C01,K_T_C01_T,K_T_C02,K_T_C02_T,K_T_C03,K_T_C03_T,K_T_C04,K_T_C04_T,K_T_C05,K_T_C05_T,K_T_C06,K_T_C06_T,K_T_C07,K_T_C07_T,K_T_C08,K_T_C08_T,K_T_C09,K_T_C09_T,K_T_R01,K_T_R01_T,K_T_R02,K_T_R02_T,K_T_R03,K_T_R03_T,K_T_R04,K_T_R04_T,K_T_R05,K_T_R05_T,K_T_R06,K_T_R06_T,K_T_R07,K_T_R07_T,K_T_R08,K_T_R08_T,K_T_R09,K_T_R09_T,K_T_R10,K_T_R10_T,K_T_R11,K_T_R11_T,K_T_R12,K_T_R12_T,K_T_Z01,K_T_Z01_T,K_T_Z02,K_T_Z02_T,K_T_Z03,K_T_Z03_T,K_T_Z04,K_T_Z04_T,K_T_Z05,K_T_Z05_T,K_T_Z06,K_T_Z06_T,K_T_Z07,K_T_Z07_T,K_T_Z08,K_T_Z08_T,K_T_Z09,K_T_Z09_T,K_T_Z10,K_T_Z10_T,K_T_Z11,K_T_Z11_T,K_T_Z12,K_T_Z12_T,K_T_Z13,K_T_Z13_T,K_T_Z14,K_T_Z14_T,K_T_Z15,K_T_Z15_T,K_T_Z16,K_T_Z16_T,K_T_Z17,K_T_Z17_T,K_T_Z18,K_T_Z18_T,K_T_Z19,K_T_Z19_T,K_T_Z20,K_T_Z20_T
11,E,3512,20905,100100417,2018,0,0.06,,0,,15.36,,41.03,,0.03,,0.13,,0.07,,0.36,,0.07,,0.19,,0.92,,0.01,,5.42,,0.68,,2.11,,0,,1.66,,0.02,,64.68,,23.24,,0.04,,0.1,,60.75,,0.1,,0.02,,0.06,,0.1,,0.31,,0,,0.15,,0.06,,0.05,,0.14,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,E,3512,20905,100100417,2019,0,0.05,,0,,14.63,,34.86,,0.02,,0.09,,0.09,,0.41,,0.07,,0.22,,0.94,,0.01,,4.65,,0.7,,2.3,,0,,1.81,,0.02,,81.84,,23.16,,0.04,,0.09,,77.63,,0.12,,0.01,,0.09,,0.16,,-0.08,,-0.15,,0.15,,0.03,,0.17,,0,,-0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,E,3092,237,100100424,2017,0,0.26,,0.01,,2225.85,,3153.62,,0.18,,0.51,,0,,0.02,,0.16,,0.36,,0.87,,0.16,,4.92,,0.24,,0.31,,0,,0.03,,0.01,,0.14,,0.16,,6.08,,0.01,,0.1,,6.84,,7.09,,0.12,,0,,-0.01,,1.97,,-16.27,,-0.01,,0,,-0.85,,7.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,E,3092,237,100100424,2018,0,0.16,,-0.26,,309.25,,233.22,,0.21,,0.74,,0.01,,0.04,,0.06,,0.29,,0.37,,0.08,,4.81,,0.21,,0.26,,-0.08,,0.14,,-0.05,,0.69,,2.7,,0.37,,0.02,,0.59,,0.51,,1.44,,-0.21,,-0.03,,0.11,,1.87,,0.05,,-0.56,,-0.72,,0.47,,-0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,E,3092,237,100100424,2019,0,0.16,,0,,138.67,,55.68,,0.24,,0.75,,0.01,,0.04,,0.06,,0.32,,0.34,,0.09,,4.37,,0.23,,0.3,,-0.07,,0.15,,0,,0.61,,2.53,,0.4,,0.02,,0.51,,0.54,,1.63,,-0.18,,-0.03,,0.16,,-0.04,,0.02,,-0.08,,0.08,,-0.15,,-1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,E,1311,267.4,100100495,2017,0,0.11,,0,,428.42,,489.09,,0.33,,0.45,,0.07,,0.11,,0.47,,0.75,,0.64,,0.1,,1.55,,0.71,,2.4,,0,,0.39,,0,,1.03,,0.73,,1.38,,0.04,,0.92,,1.2,,0.97,,0.3,,0.1,,0.1,,-0.39,,0.13,,0.31,,0.42,,-0.35,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,E,1311,267.4,100100495,2018,0,0.5,,-0.01,,7725.56,,-3460.82,,0.34,,0.56,,0,,0,,0.42,,0.61,,0.64,,0.19,,2.36,,0.65,,1.84,,0,,0.02,,0,,0.07,,0.06,,17.9,,0.01,,0.03,,11.62,,14.63,,-5.46,,-0.13,,-0.15,,3.73,,-30.42,,0.02,,-0.27,,-0.67,,-7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,E,1311,267.4,100100495,2019,0,1,,0.09,,12003.81,,2584.94,,0.39,,0.66,,0,,0,,0.35,,0.59,,0.55,,0.23,,2.78,,0.64,,1.76,,0,,0.01,,0,,0.03,,0.03,,29.42,,0.01,,0,,16.79,,32.6,,1.28,,0.02,,0.1,,1.01,,-281.62,,-0.13,,-0.19,,-0.26,,-8.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,E,6810,186.95,100100671,2018,0,0.05,,0,,165.15,,24.81,,0.05,,0.11,,0.01,,0.03,,0.55,,0.52,,1.34,,0.17,,2.86,,0.36,,0.57,,0,,1.17,,0,,21.18,,2.11,,0.47,,0.06,,20.12,,0.4,,0.05,,0.11,,0.13,,-0.36,,0.01,,0,,0.11,,0.1,,0.13,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,E,6810,186.95,100100671,2019,0,0.05,,0,,199.37,,22,,0.01,,0.02,,0,,0.01,,0.6,,0.51,,1.64,,0.2,,3.29,,0.32,,0.46,,0,,1.05,,0,,104,,1.82,,0.55,,0.06,,98.3,,0.46,,0.01,,0.02,,0.03,,-0.82,,0.1,,-0.15,,0.22,,0.01,,-0.11,,-0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
