"K_C_V01_1","K_C_V01_2","K_C_V02_1","K_C_V02_2","K_C_V03_1","K_C_V03_2","K_C_V04_1","K_C_V04_2","K_C_V05_1","K_C_V05_2","K_C_V06_1","K_C_V06_2","K_C_V07_1","K_C_V07_2","K_C_V08_1","K_C_V08_2","K_C_V09_1","K_C_V09_2","NGANHKT_1","NGANHKT_2","TUOI_1","TUOI_2","VON_1","VON_2"
0.18,0.17,0.04,0.61,148.14,140.36,212.56,107.07,0,0,0,0,0.22,0.32,5.63,14.44,0.05,0.03,"7912","7912",16,16,1228,1228
0.29,0.23,0.47,0.38,116.49,75.95,154.97,104.11,0,0,0,0,0.02,0.1,0.56,1.64,0.03,0.03,"7990","7990",11,11,2850,2850
0.04,0.04,0.01,0.01,4.6,3.97,4.35,3.47,0.02,0.02,0.07,0.06,0.08,0.03,0.14,0.05,0.26,0.28,"4661","4661",11,11,272.6,272.6
0.06,0.07,0.03,0.03,145.4,182.32,263.27,301.57,0.14,0.12,0.21,0.18,0.09,0.07,0.14,0.11,0.44,0.46,"6810","6810",11,11,525,525
0.03,0.02,0.02,0.01,30.03,22.93,44.41,32.33,0.33,0.43,0.37,0.48,0.26,0.09,0.31,0.1,0.3,0.36,"4661","4661",11,11,550,550
0.05,0.05,0.01,0,224.17,440.29,69.35,215.42,0,0,0,0,0.14,0.02,0.41,0.05,0.44,0.55,"8299","8299",15,15,800,800
0.16,0.16,-0.12,-0.02,392.4,1423.05,142.35,564.79,0.04,0.02,0.05,0.03,0.01,0.01,0.13,0.04,0.69,0.76,"4719","4719",12,12,550,550
0.07,0.07,0.01,0.03,334.76,114.99,433.35,2390.14,0.6,0.52,0.62,0.55,0,0,0,0,0.13,0.12,"6810","6810",16,16,180,180
0.12,-0.01,-0.06,-0.13,533.99,850.94,395.14,514.34,0.06,0.07,0.1,0.12,0.05,0.03,0.09,0.06,0.46,0.45,"4212","4212",11,11,589.91,589.91
0.22,0.22,0.13,0.11,81.41,64.45,67.72,46.69,0.12,0.17,0.33,0.38,0.02,0.01,0.06,0.03,0.18,0.16,"1811","1811",17,17,596,596
0.07,0.07,0.03,0,272.95,340.7,293.71,322.45,0.14,0.24,0.16,0.29,0.09,0.06,0.11,0.08,0.56,0.47,"4299","4299",10,10,500,500
0.09,0.1,0,0,231.21,292.76,131.08,177.14,0.23,0.04,0.3,0.07,0.01,0,0.01,0.01,0.49,0.58,"4299","4299",15,15,250,250
0.18,0.2,0.03,0.04,55.52,62.42,273.98,381.34,0,0.01,0,0.01,0,0.02,0.01,0.06,0.11,0.09,"4299","4299",11,11,327.74,327.74
0.1,0.08,0.01,0.01,88.44,79.87,191.8,142.46,0.35,0.4,0.4,0.44,0.05,0.03,0.06,0.04,0.43,0.41,"4649","4649",18,18,198.45,198.45
0.05,0.01,0,0,308.9,39.45,315.46,65.25,0.22,0.64,0.27,0.7,0,0.01,0,0.01,0.55,0.19,"4290","4290",15,15,300,300
0.21,0.84,5.3,0.7,927.88,181.14,293.75,190.12,0,0,0,0,0.02,0,0.56,0.32,0.04,0.07,"6499","6499",14,14,7008.86,7008.86
